route_id,route_name,km_from,km_to,province,geocode,agency,accidents,dead,injured,severity_score,accidents_per_year,years_observed,rain_share,common_geometry,common_cause
304,สี่แยกกบินทร์บุรี - วังน้ำเขียว,210,211,ปราจีนบุรี,25,กรมทางหลวง,72,29,79,369,14.4,5,0.097,ทางโค้งกว้าง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด
ส.013,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,2,3,กรุงเทพมหานคร,10,กรมทางหลวงชนบท,105,20,55,255,26.25,4,0.067,ทางตรง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด
31,งามวงศ์วาน - ดอนเมือง,28,29,ปทุมธานี,13,กรมทางหลวง,3,23,5,235,1.5,2,0,ทางโค้งปกติ+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด
ส.013,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,1,2,สมุทรปราการ,11,กรมทางหลวงชนบท,116,15,64,214,23.2,5,0.121,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,0,1,กรุงเทพมหานคร,10,กรมทางหลวง,144,10,111,211,28.8,5,0.056,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
ส.013,ออกจากสะพานภูมิพลที่ 2 ไปถนนวงแหวนอุตสาหกรรม,0,1,สมุทรปราการ,11,กรมทางหลวงชนบท,150,9,98,188,30,5,0.027,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,ทางต่างระดับหนองขาม - ท่าเรือแหลมฉบัง,5,6,ชลบุรี,20,กรมทางหลวง,176,4,140,180,35.2,5,0.068,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
304,สี่แยกกบินทร์บุรี - วังน้ำเขียว,208,209,ปราจีนบุรี,25,กรมทางหลวง,34,11,70,180,6.8,5,0.059,ทางโค้งกว้าง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1256,ปัว - อุทยานแห่งชาติดอยภูคา,8,9,น่าน,55,กรมทางหลวง,21,10,76,176,4.2,5,0,ทางโค้งกว้าง+ที่ลาดชัน,ระบบห้ามล้อขัดข้อง/ระบบเบรกชำรุด
3199,โป่งปัด - ศรีสวัสดิ์,58,59,กาญจนบุรี,71,กรมทางหลวง,10,4,134,174,3.33,3,0,ทางโค้งกว้าง+ที่ลาดชัน,ขับรถเร็วเกินอัตราที่กำหนด
7,ทางต่างระดับห้วยใหญ่ - บ้านอำเภอ,6,7,ชลบุรี,20,กรมทางหลวง,192,3,141,171,38.4,5,0.036,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,10,11,กรุงเทพมหานคร,10,กรมทางหลวง,257,1,157,167,51.4,5,0.008,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,ทางต่างระดับบางควาย - ทางต่างระดับบางวัว,2,3,ชลบุรี,20,กรมทางหลวง,246,4,125,165,49.2,5,0.077,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,11,12,กรุงเทพมหานคร,10,กรมทางหลวง,239,1,155,165,47.8,5,0.008,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,7,8,กรุงเทพมหานคร,10,กรมทางหลวง,220,1,154,164,44,5,0.032,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,14,15,กรุงเทพมหานคร,10,กรมทางหลวง,146,2,118,138,29.2,5,0.021,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,4,5,กรุงเทพมหานคร,10,กรมทางหลวง,167,2,116,136,33.4,5,0.018,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,2,3,กรุงเทพมหานคร,10,กรมทางหลวง,165,4,93,133,33,5,0.012,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
2,สระบุรี - ตาลเดี่ยว,4,5,สระบุรี,19,กรมทางหลวง,15,10,32,132,3,5,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,12,13,กรุงเทพมหานคร,10,กรมทางหลวง,129,4,89,129,25.8,5,0.023,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
2,บ่อทอง - มอจะบก,100,101,นครราชสีมา,30,กรมทางหลวง,10,11,18,128,2.5,4,0.4,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,ถนนศรีนครินทร - แขวงคลองสองต้นนุ่น,3,4,ชลบุรี,20,กรมทางหลวง,167,3,91,121,33.4,5,0.096,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
323,ทองผาภูมิ - เจดีย์สามองค์,266,267,กาญจนบุรี,71,กรมทางหลวง,9,10,20,120,1.8,5,0.111,ทางโค้งกว้าง+ไม่มีความลาดชัน,ระบบห้ามล้อขัดข้อง/ระบบเบรกชำรุด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,6,7,กรุงเทพมหานคร,10,กรมทางหลวง,135,4,79,119,27,5,0.022,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,แขวงคลองสองต้นนุ่น - พิมพา,23,24,สมุทรปราการ,11,กรมทางหลวง,38,10,17,117,7.6,5,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,ดาวคะนอง -  แสมดำ,9,10,กรุงเทพมหานคร,10,กรมทางหลวง,106,5,63,113,21.2,5,0.028,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,บางปะอิน - แขวงรามอินทรา,43,44,กรุงเทพมหานคร,10,กรมทางหลวง,134,0,112,112,26.8,5,0.216,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,5,6,กรุงเทพมหานคร,10,กรมทางหลวง,101,4,71,111,20.2,5,0.03,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,ทางต่างระดับหนองขาม - ท่าเรือแหลมฉบัง,1,2,ชลบุรี,20,กรมทางหลวง,186,3,79,109,37.2,5,0.065,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,สระพัง - เขาวัง,145,146,เพชรบุรี,76,กรมทางหลวง,19,10,9,109,4.75,4,0.368,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
12,แม่ละเมา - ตาก,68,69,ตาก,63,กรมทางหลวง,23,5,57,107,5.75,4,0.043,ทางตรง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด
12,น้ำดุก - ห้วยซำมะคาว,419,420,เพชรบูรณ์,67,กรมทางหลวง,5,2,87,107,2.5,2,0,ทางโค้งกว้าง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,9,10,กรุงเทพมหานคร,10,กรมทางหลวง,160,2,86,106,32,5,0.013,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
309,บางเสด็จ - แยกที่ดิน,40,41,อ่างทอง,15,กรมทางหลวง,7,9,13,103,1.75,4,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,1,2,กรุงเทพมหานคร,10,กรมทางหลวง,114,3,71,101,22.8,5,0.018,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,ดาวคะนอง -  แสมดำ,0,1,กรุงเทพมหานคร,10,กรมทางหลวง,44,4,61,101,8.8,5,0.091,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,แขวงคลองสองต้นนุ่น - พิมพา,8,9,กรุงเทพมหานคร,10,กรมทางหลวง,284,1,89,99,56.8,5,0.014,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
ส.012,สะพานภูมิพลที่ 2 ไปสะพานภูมิพลที่ 1,0,1,สมุทรปราการ,11,กรมทางหลวงชนบท,71,5,49,99,17.75,4,0.056,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,ถนนศรีนครินทร - แขวงคลองสองต้นนุ่น,0,1,ชลบุรี,20,กรมทางหลวง,194,2,78,98,38.8,5,0.057,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,คลองบางไผ่ - คลองบางหลวง,58,59,กรุงเทพมหานคร,10,กรมทางหลวง,51,4,58,98,10.2,5,0.137,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
3902,คลองระพีพัฒน์ - บึงคำพร้อย,3,4,กรุงเทพมหานคร,10,กรมทางหลวง,25,5,48,98,8.33,3,0.08,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,แขวงรามอินทรา - บางพลี,50,51,กรุงเทพมหานคร,10,กรมทางหลวง,118,1,87,97,23.6,5,0.068,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,บางแค - คลองมหาสวัสดิ์,30,31,ปทุมธานี,13,กรมทางหลวง,130,3,66,96,26,5,0.046,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
3,บ้านสิ้ว - โพธิ์ทอง,322,323,จันทบุรี,22,กรมทางหลวง,14,7,26,96,2.8,5,0.143,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,บางปะอิน - แขวงรามอินทรา,36,37,กรุงเทพมหานคร,10,กรมทางหลวง,79,2,75,95,15.8,5,0.114,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,สระพัง - เขาวัง,151,152,เพชรบุรี,76,กรมทางหลวง,43,6,35,95,8.6,5,0.465,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,แขวงรามอินทรา - บางพลี,46,47,กรุงเทพมหานคร,10,กรมทางหลวง,82,3,63,93,16.4,5,0.183,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,ดาวคะนอง -  แสมดำ,3,4,กรุงเทพมหานคร,10,กรมทางหลวง,58,4,53,93,11.6,5,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
340,สาลี - สุพรรณบุรี,58,59,สุพรรณบุรี,72,กรมทางหลวง,21,6,33,93,4.2,5,0.143,ทางตรง+ไม่มีความลาดชัน,หลับใน
41,ร่อนพิบูลย์  - ไม้เสียบ,330,331,นครศรีธรรมราช,80,กรมทางหลวง,16,6,33,93,4,4,0.125,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1,ต่างระดับบางปะอิน - หนองแค,76,77,พระนครศรีอยุธยา,14,กรมทางหลวง,28,7,22,92,5.6,5,0.036,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
24,กระเทียม - ห้วยสำราญ,260,261,สุรินทร์,32,กรมทางหลวง,11,8,12,92,2.2,5,0,ทางตรง+ไม่มีความลาดชัน,หลับใน
7,ถนนศรีนครินทร - แขวงคลองสองต้นนุ่น,7,8,กรุงเทพมหานคร,10,กรมทางหลวง,286,2,71,91,57.2,5,0.042,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,8,9,กรุงเทพมหานคร,10,กรมทางหลวง,131,0,90,90,26.2,5,0.015,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
34,ทางเข้าท่าอากาศยานสุวรรณภูมิ - บางวัว,19,20,สมุทรปราการ,11,กรมทางหลวง,22,7,20,90,4.4,5,0.045,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,ทางต่างระดับหนองขาม - ท่าเรือแหลมฉบัง,4,5,ชลบุรี,20,กรมทางหลวง,135,1,79,89,27,5,0.089,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,แขวงคลองสองต้นนุ่น - พิมพา,10,11,กรุงเทพมหานคร,10,กรมทางหลวง,191,2,68,88,38.2,5,0.042,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
340,สาลี - สุพรรณบุรี,71,72,สุพรรณบุรี,72,กรมทางหลวง,46,4,48,88,9.2,5,0.043,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
11,นาอิน - ชัยมงคล,285,286,อุตรดิตถ์,53,กรมทางหลวง,21,6,26,86,4.2,5,0.048,ทางตรง+ไม่มีความลาดชัน,หลับใน
230,ถนนวงแหวนรอบเมืองขอนแก่นด้านทิศตะวันออก,40,41,ขอนแก่น,40,กรมทางหลวง,4,8,5,85,1,4,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,ดาวคะนอง -  แสมดำ,12,13,กรุงเทพมหานคร,10,กรมทางหลวง,76,5,34,84,15.2,5,0.039,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,แขวงรามอินทรา - บางพลี,47,48,กรุงเทพมหานคร,10,กรมทางหลวง,95,0,83,83,19,5,0.084,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
361,ทางเลี่ยงเมืองชลบุรี,0,1,ชลบุรี,20,กรมทางหลวง,36,7,13,83,7.2,5,0.028,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1,ต่างระดับบางปะอิน - หนองแค,78,79,พระนครศรีอยุธยา,14,กรมทางหลวง,21,5,33,83,4.2,5,0.143,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
41,เกาะมุกข์ - ควนรา,124,125,สุราษฎร์ธานี,84,กรมทางหลวง,3,8,3,83,1.5,2,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,น้ำรอด - พ่อตาหินช้าง,416,417,ประจวบคีรีขันธ์,77,กรมทางหลวง,14,7,12,82,2.8,5,0.143,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
41,เกาะมุกข์ - ควนรา,129,130,สุราษฎร์ธานี,84,กรมทางหลวง,9,5,32,82,2.25,4,0.111,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,ดาวคะนอง -  แสมดำ,8,9,กรุงเทพมหานคร,10,กรมทางหลวง,93,2,61,81,18.6,5,0.032,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,แขวงรามอินทรา - บางพลี,45,46,กรุงเทพมหานคร,10,กรมทางหลวง,79,2,61,81,15.8,5,0.089,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,ดาวคะนอง -  แสมดำ,7,8,กรุงเทพมหานคร,10,กรมทางหลวง,61,4,41,81,12.2,5,0.049,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
ส.012,ถนนวงแหวนอุตสาหกรรมเข้าสะพานภูมิพลที่ 1,2,3,สมุทรปราการ,11,กรมทางหลวงชนบท,72,2,60,80,14.4,5,0.069,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,บางปะอิน - แขวงรามอินทรา,28,29,ปทุมธานี,13,กรมทางหลวง,79,5,29,79,15.8,5,0.051,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,คลองมหาสวัสดิ์ - คลองบางไผ่,37,38,กรุงเทพมหานคร,10,กรมทางหลวง,76,2,59,79,15.2,5,0.053,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
408,หัวถนน - เฉลิมพระเกียรติ,18,19,นครศรีธรรมราช,80,กรมทางหลวง,10,6,18,78,3.33,3,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,บางปะอิน - แขวงรามอินทรา,42,43,กรุงเทพมหานคร,10,กรมทางหลวง,98,0,77,77,19.6,5,0.194,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,หนองข้างคอก - ตะเคียนเตี้ย,82,83,ชลบุรี,20,กรมทางหลวง,62,5,27,77,12.4,5,0.032,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,พิมพา - หนองข้างคอก,65,66,ชลบุรี,20,กรมทางหลวง,53,1,67,77,10.6,5,0.057,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,พังลา - จุดผ่านแดนถาวรสะเดา (เขตแดนไทย/มาเลเซีย),1307,1308,สงขลา,90,กรมทางหลวง,8,5,27,77,2,4,0.25,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,สระพัง - เขาวัง,142,143,เพชรบุรี,76,กรมทางหลวง,26,6,16,76,5.2,5,0.346,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1,วังเจ้า - ตาก,524,525,ตาก,63,กรมทางหลวง,18,5,26,76,3.6,5,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
212,ย้อมพัฒนา - นาโพธิ์,423,424,มุกดาหาร,49,กรมทางหลวง,15,6,16,76,3.75,4,0.067,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,นาโคก - แพรกหนามแดง,78,79,สมุทรสงคราม,75,กรมทางหลวง,12,7,6,76,2.4,5,0.083,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1,ต่างระดับบางปะอิน - หนองแค,67,68,พระนครศรีอยุธยา,14,กรมทางหลวง,28,5,25,75,5.6,5,0.143,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
41,สวนสมบูรณ์ - เกาะมุกข์,115,116,สุราษฎร์ธานี,84,กรมทางหลวง,13,5,25,75,2.6,5,0.154,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
2,โคกกรวด - นครราชสีมา,143,144,นครราชสีมา,30,กรมทางหลวง,10,3,45,75,2.5,4,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,ดาวคะนอง -  แสมดำ,10,11,กรุงเทพมหานคร,10,กรมทางหลวง,77,3,44,74,15.4,5,0.026,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,ดาวคะนอง -  แสมดำ,2,3,กรุงเทพมหานคร,10,กรมทางหลวง,57,3,44,74,11.4,5,0.018,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
34,ทางเข้าท่าอากาศยานสุวรรณภูมิ - บางวัว,16,17,สมุทรปราการ,11,กรมทางหลวง,31,6,14,74,6.2,5,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,หนองข้างคอก - ตะเคียนเตี้ย,91,92,ชลบุรี,20,กรมทางหลวง,106,4,33,73,21.2,5,0.113,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
338,อรุณอมรินทร์ - พุทธมณฑลสาย 4,3,4,กรุงเทพมหานคร,10,กรมทางหลวง,89,1,63,73,17.8,5,0.045,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
32,ไชโย - สิงห์ใต้,67,68,สิงห์บุรี,17,กรมทางหลวง,16,6,13,73,3.2,5,0.063,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,เขาคราม - ตลาดเก่า,960,961,กระบี่,81,กรมทางหลวง,8,6,13,73,2,4,0.5,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
3296,ดอนตูม - บางเลน,6,7,นครปฐม,73,กรมทางหลวง,4,7,3,73,1.33,3,0,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,ดาวคะนอง -  แสมดำ,5,6,กรุงเทพมหานคร,10,กรมทางหลวง,108,0,72,72,21.6,5,0.019,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,42,43,ปทุมธานี,13,กรมทางหลวง,9,5,22,72,1.8,5,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,46,47,ปทุมธานี,13,กรมทางหลวง,8,7,2,72,2,4,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
ลบ.3033,แยกทางหลวงหมายเลข 205 (กม.ที่ 265+150) - บ้านซับกระโดน,13,14,ลพบุรี,16,กรมทางหลวงชนบท,3,7,2,72,1.5,2,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
316,เขาไร่ยา - จันทบุรี,4,5,จันทบุรี,22,กรมทางหลวง,14,6,11,71,3.5,4,0.143,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
ปข.5062,เชื่อมถนนเทศบาลตำบลหนองพลับ (กม.ที่ 1+740) - น้ำตกป่าละอู,19,20,ประจวบคีรีขันธ์,77,กรมทางหลวงชนบท,3,6,11,71,1.5,2,0,ทางโค้งกว้าง+ไม่มีความลาดชัน,ไม่มีระบบสัญญาณไฟจราจร
ชม.3035,แยกทางหลวงหมายเลข 108 (กม.ที่ 34+500) - บ้านร้อยจันทร์,23,24,เชียงใหม่,50,กรมทางหลวงชนบท,7,7,0,70,2.33,3,0,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1065,หนองกุลา - พิษณุโลก,55,56,พิษณุโลก,65,กรมทางหลวง,5,5,19,69,1.67,3,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,แขวงคลองสองต้นนุ่น - พิมพา,11,12,กรุงเทพมหานคร,10,กรมทางหลวง,234,0,68,68,46.8,5,0.043,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1,ต่างระดับบางปะอิน - หนองแค,74,75,พระนครศรีอยุธยา,14,กรมทางหลวง,33,3,38,68,6.6,5,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
34,ทางเข้าท่าอากาศยานสุวรรณภูมิ - บางวัว,15,16,สมุทรปราการ,11,กรมทางหลวง,14,6,8,68,2.8,5,0,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด
22,หนองขาม - หนองหาน,32,33,อุดรธานี,41,กรมทางหลวง,14,4,28,68,2.8,5,0.143,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
201,ปากภู - เชียงคาน,375,376,เลย,42,กรมทางหลวง,11,6,8,68,2.75,4,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,คลองบางไผ่ - คลองบางหลวง,44,45,กรุงเทพมหานคร,10,กรมทางหลวง,123,0,67,67,24.6,5,0.098,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
2466,โคกหนองม่วง - หล่มสัก,3,4,เพชรบูรณ์,67,กรมทางหลวง,37,4,27,67,7.4,5,0.081,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
41,ไม้เสียบ - สี่แยกโพธิ์ทอง,366,367,พัทลุง,93,กรมทางหลวง,10,5,17,67,2,5,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,แขวงคลองสองต้นนุ่น - พิมพา,27,28,สมุทรปราการ,11,กรมทางหลวง,252,1,56,66,50.4,5,0.016,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,แขวงรามอินทรา - บางพลี,54,55,กรุงเทพมหานคร,10,กรมทางหลวง,147,1,56,66,29.4,5,0.238,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
340,สาลี - สุพรรณบุรี,63,64,สุพรรณบุรี,72,กรมทางหลวง,28,4,26,66,5.6,5,0.036,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,แขวงคลองสองต้นนุ่น - พิมพา,9,10,กรุงเทพมหานคร,10,กรมทางหลวง,175,0,65,65,35,5,0.034,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
12,แม่ละเมา - ตาก,69,70,ตาก,63,กรมทางหลวง,22,5,15,65,4.4,5,0,ทางโค้งกว้าง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด
304,วังน้ำเขียว - ดอนขวาง,229,230,นครราชสีมา,30,กรมทางหลวง,15,5,15,65,3,5,0.133,ทางโค้งกว้าง+ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด
36,มาบข่า - ทับมา,41,42,ระยอง,21,กรมทางหลวง,12,6,5,65,3,4,0.167,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
304,ฉะเชิงเทรา - เสม็ดเหนือ,86,87,ฉะเชิงเทรา,24,กรมทางหลวง,8,6,5,65,2,4,0.125,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตรากำหนด
117,หนองเต่า - คลองพลังด้านใต้,29,30,นครสวรรค์,60,กรมทางหลวง,5,1,55,65,1.67,3,0,ทางตรง+ไม่มีความลาดชัน,หลับใน
9,บางปะอิน - แขวงรามอินทรา,22,23,ปทุมธานี,13,กรมทางหลวง,125,2,44,64,31.25,4,0.352,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,สะพานข้ามแม่น้ำท่าจีนฝั่งตะวันตก - นาโคก,34,35,สมุทรสาคร,74,กรมทางหลวง,77,5,14,64,19.25,4,0.013,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
9,บางปะอิน - แขวงรามอินทรา,41,42,กรุงเทพมหานคร,10,กรมทางหลวง,55,1,54,64,11,5,0.091,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
7,พิมพา - หนองข้างคอก,73,74,ชลบุรี,20,กรมทางหลวง,54,4,24,64,10.8,5,0.111,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
35,ดาวคะนอง -  แสมดำ,1,2,กรุงเทพมหานคร,10,กรมทางหลวง,51,2,44,64,10.2,5,0.059,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
