route_id,route_name,km_from,km_to,province,geocode,agency,accidents,dead,injured,severity_score,accidents_per_year,years_observed,rain_share,common_geometry,common_cause
1,นครชุม - วังเจ้า,489,490,กำแพงเพชร,62,กรมทางหลวง,10,2,7,27,2.5,4,0,ทางโค้งกว้าง+ไม่มีความลาดชัน,หลับใน
340,ศรีประจันต์ - ปากน้ำ,122,123,สุพรรณบุรี,72,กรมทางหลวง,10,2,7,27,3.33,3,0,ทางตรง+ไม่มีความลาดชัน,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด
4,ตรัง - เขาพับผ้า,1126,1127,ตรัง,92,กรมทางหลวง,10,1,17,27,2.5,4,0.2,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,พ่อตาหินช้าง - วังครก,467,468,ชุมพร,86,กรมทางหลวง,9,2,7,27,2.25,4,0.222,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
42,สะปอม - ปาเสมัส,257,258,นราธิวาส,96,กรมทางหลวง,9,2,7,27,3,3,0.111,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
32,สิงห์เหนือ - โพนางดำออก,95,96,สิงห์บุรี,17,กรมทางหลวง,9,2,7,27,1.8,5,0,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,คลองบางดินสอ - นาเหนือ,865,866,พังงา,82,กรมทางหลวง,9,1,17,27,1.8,5,0.333,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
41,ไม้เสียบ - สี่แยกโพธิ์ทอง,357,358,พัทลุง,93,กรมทางหลวง,9,2,7,27,3,3,0.111,ทางตรง+ที่ราบ,ความเมื่อยล้า
4,พ่อตาหินช้าง - วังครก,449,450,ชุมพร,86,กรมทางหลวง,9,2,7,27,2.25,4,0.333,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
1,แยกสวนพฤกษศาสตร์พุแค - แยกโรงเรียนสุธีวิทยา,135,136,สระบุรี,19,กรมทางหลวง,8,2,7,27,2.67,3,0.25,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
4,ตลาดเก่า - คลองท่อม,999,1000,กระบี่,81,กรมทางหลวง,8,1,17,27,2.67,3,0.25,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
303,ราษฎร์บูรณะ - พระสมุทรเจดีย์,16,17,สมุทรปราการ,11,กรมทางหลวง,8,2,7,27,2,4,0.25,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด
